,Unnamed: 0,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability,code
5831,6188,j-dance,RYDEEN,0fLezMjemwq1tDcwjErXQ2,37,-6.506,142.77,266360,0.855,2,0.807,0.0368,0.895,0.5539999999999999,107
5832,6189,j-dance,Lotta Love - THE SUITBOYS Remix,5yQFwnNHl9bXBaKjaydOoT,0,-6.194,129.937,192040,0.927,8,0.0501,0.237,0.594,0.504,107
5833,6190,j-dance,#hashdark,3YVM9mi7xHNUvgALYDrhmp,4,-3.9419999999999997,122.007,278827,0.88,11,5.53e-06,0.0619,0.8370000000000001,0.662,107
5834,6191,j-dance,7th Tiger - Original Mix,0tJUZnxZs2WRUij9d59JtG,14,-6.47,127.97200000000001,428800,0.85,7,0.922,0.0658,0.55,0.741,107
5835,6192,j-dance,#SorryNotSorry - 3onderboy remix,5XQeLLJtlae7bVqpknLKTN,14,-1.641,127.973,181743,0.96,10,1.6100000000000002e-05,0.14400000000000002,0.581,0.65,107
5836,6193,j-dance,Feel Again,2FQ6ECHosxNMQOeWOAAAuN,26,-2.594,128.031,230760,0.813,10,0.0,0.0433,0.43,0.604,107
5837,6194,j-dance,Extra - The 7th Plain Remix,4EwXL7uo0t8J1qA8qBDbrV,0,-10.595,94.01100000000001,484285,0.598,5,0.0008150000000000001,0.031,0.154,0.496,107
5838,6195,j-dance,runaway? (Re-Master),25p2HhuEY9cp7BZfV6nuuU,3,-4.122,130.029,313875,0.9059999999999999,11,0.0265,0.0414,0.597,0.5820000000000001,107
5839,6196,j-dance,Crazy Love,5L9B8j35ubG3CmlOvx3mXi,6,-4.545,124.994,471840,0.941,6,0.000566,0.0688,0.679,0.7909999999999999,107
5840,6197,j-dance,Choo Choo SHITAIN,3k2o351Iu0yBEWUvK5Zjm0,23,-4.559,128.015,230096,0.9520000000000001,0,0.257,0.0549,0.715,0.6829999999999999,107
5841,6198,j-dance,Winding Road - メイン,1HpXPN658X47zzwhMeyCwV,17,-4.988,115.006,254067,0.909,0,0.0,0.0434,0.446,0.621,107
5842,6199,j-dance,Do It Like This - Radio Edit ver.,2MC6K5zvcHNnvfXSZefMQw,2,-5.996,141.007,209367,0.968,0,0.0107,0.0766,0.748,0.621,107
5843,6200,j-idol,DATE COUNT FIVE,6AwiUUokMxmqENh9ywOxEk,4,-4.427,127.008,263320,0.7609999999999999,11,8.7e-05,0.0491,0.489,0.762,10
5844,6201,j-idol,完全なるアイドル,0LR9i2vBBGUi4Dbc9uXJRj,8,-4.354,100.025,219707,0.775,0,1.8e-05,0.0692,0.304,0.555,10
5845,6202,j-idol,ナツコイ,2hdXb1YXBbQvIncCyY3jh9,0,-1.673,170.00099999999998,262600,0.977,0,0.0,0.15,0.88,0.611,10
5846,6203,j-idol,パラダイブ,4E4RmI8VPBcLkCfub8y8jd,17,-3.9160000000000004,147.965,285493,0.853,9,0.0,0.0858,0.638,0.618,10
5847,6204,j-idol,でんでんぱっしょん,1mrwERMQu9C6QuMYYFgmuf,34,-2.6710000000000003,92.999,236650,0.9840000000000001,1,2.25e-06,0.109,0.507,0.493,10
5848,6205,j-idol,一通LOVE,4D9JKfyMsgsOUVshw33Vp5,1,-3.2119999999999997,130.043,286587,0.941,6,0.0,0.141,0.531,0.6579999999999999,10
5849,6206,j-idol,ようかい体操第二,3BwPzABLaqZC7xbBfww6sb,19,-5.226,122.01100000000001,300187,0.7020000000000001,2,0.0,0.125,0.885,0.919,10
5850,6207,j-idol,ヤバッ!,1QALL01mLbtdb5XhHJwnBo,33,-3.195,96.07,229507,0.958,6,0.342,0.12300000000000001,0.5870000000000001,0.53,10
5851,6208,j-idol,キミがいてよかった,51UMvN9FcizozoVcEWaHw3,2,-2.6510000000000002,199.976,285667,0.708,2,0.0,0.0344,0.662,0.507,10
5852,6209,j-idol,サイレン,1ll6m5yYf1J8SX6ly9PnUU,8,-2.82,184.005,264467,0.9540000000000001,11,1.2e-05,0.0543,0.484,0.34600000000000003,10
5853,6210,j-idol,シャンプーハット - おわりとはじまり ver.,6NoC3j2lEv8JJbLHMQIWDr,6,-5.847,147.916,247107,0.9009999999999999,1,0.0,0.09,0.564,0.5579999999999999,10
5854,6211,j-idol,Winter merry go round,3mJwuYVGi6RvMWFaehjNe8,2,-3.3139999999999996,117.978,334507,0.883,10,1.4400000000000001e-05,0.0395,0.375,0.5720000000000001,10
5855,6212,j-idol,Dorothy Train,4TKPQ1Q7qJzQfrj9Dn2VX5,0,-2.822,160.091,250627,0.885,5,0.0,0.0587,0.36,0.45399999999999996,10
5856,6213,j-idol,ハピ☆デリ,5OGaOuMtxy3clvG2a2M9Dy,1,-3.2710000000000004,177.012,220935,0.9590000000000001,7,0.0,0.161,0.753,0.47700000000000004,10
5857,6214,j-idol,にこにこハンブンコ,3VVaZs87uVkE5OEgM78gJq,14,-2.461,171.979,189600,0.9590000000000001,8,0.0,0.0782,0.86,0.552,10
5858,6215,j-idol,Creaction,0xoJFWEgHyJi9BTY0VRNJU,0,-1.5919999999999999,184.87,209033,0.9620000000000001,7,0.00013700000000000002,0.125,0.597,0.43,10
5859,6216,j-idol,A Little Girl,7zT3u3fi6eFGmVamkNWicB,0,-4.191,80.97800000000001,287987,0.664,3,0.0,0.0264,0.465,0.425,10
5860,6217,j-idol,イヌイットディスコ,2xntkH1BqQI9bGGXsTWwXp,1,-5.662999999999999,148.924,294280,0.9109999999999999,7,0.0124,0.07200000000000001,0.278,0.465,10
5861,6218,j-idol,無限大少女∀,3Z1rWJhw0MgvXHwE66mlHu,19,-3.2319999999999998,173.044,293547,0.903,7,0.0,0.048,0.44799999999999995,0.519,10
5862,6219,j-idol,乙女新党のうた,5mXHJiYopkgevssHd8bG8i,0,-2.046,176.025,249867,0.894,5,0.0,0.131,0.907,0.63,10
5863,6220,j-idol,マイ・フェイバリット・ソング,11wfpg29aNlG09GE6YtuHH,0,-4.07,174.01,272587,0.9470000000000001,1,0.0,0.0467,0.733,0.519,10
5864,6221,j-idol,GIRLS TALK,5rI7CTkVK6f8TvMjuKWcaJ,3,-4.061,111.99600000000001,259120,0.894,8,0.000927,0.0458,0.789,0.643,10
5865,6222,j-idol,全開!神宿ワールド,0glo95f8RVDgGV056WGOEe,7,-2.494,169.93900000000002,258765,0.968,9,0.0,0.327,0.575,0.489,10
5866,6223,j-idol,Climax Jump,12V0FuYAVLwODKqzhJaDaM,41,-3.221,170.19099999999997,245893,0.955,2,0.000261,0.149,0.465,0.39799999999999996,10
5867,6224,j-idol,おつかれサマー!,2FjXhLMgjpUzt4CrOLoQVp,12,-1.571,155.99,270532,0.982,0,4.85e-06,0.17,0.7020000000000001,0.5660000000000001,10
5868,6225,j-idol,本当本気,5mVt55yfKXh5bWfm6teGEV,44,-3.8760000000000003,132.006,284667,0.922,2,0.0126,0.0629,0.312,0.461,10
5869,6226,j-idol,ロードムービー,5LnkIld6Du5m4xZ9X1Gi2k,11,-3.918,158.043,255209,0.9229999999999999,7,0.0,0.0588,0.6940000000000001,0.565,10
5870,6227,j-idol,初恋Hello注意報,5faeRU9l84t7Bpgi2TyuyJ,0,-4.047,153.028,247455,0.9890000000000001,6,1.24e-06,0.0658,0.909,0.6759999999999999,10
5871,6228,j-idol,Doki Doki ☆ Morning,6Kh2YnphHzRVbck3FTkcs7,37,-2.46,83.068,226533,0.943,9,1.0800000000000002e-05,0.11699999999999999,0.534,0.47600000000000003,10
5872,6229,j-idol,SHOUT IT OUT,3BFFY7Zz5KCd1tsnxTBeCp,0,-2.775,129.933,228827,0.765,6,0.0,0.0335,0.79,0.642,10
5873,6230,j-idol,ミイラキラー,4oQ4lSpzc1b9ssHLgOWSry,5,-4.381,126.941,256880,0.963,10,0.0,0.049,0.69,0.535,10
5874,6231,j-idol,夢でもいいの,3tA4U2MYtrF1HMsXBv1LIU,9,-2.688,140.986,203872,0.9520000000000001,0,0.00365,0.0358,0.893,0.629,10
5875,6232,j-idol,Ready Smile!!,6iTYSktYseiOI4wnc7dePY,23,-1.439,174.825,247760,0.971,8,0.00115,0.135,0.615,0.522,10
5876,6233,j-idol,リングを駆けろ!,19eLFd6uA3g5pZ7aPjeLd9,0,-3.635,148.02700000000002,239013,0.8809999999999999,1,0.0,0.028999999999999998,0.8290000000000001,0.519,10
5877,6234,j-idol,Samurai Son - U.S.Mix,6bX2cVfFZZNtn44G675grU,4,-6.367999999999999,159.982,273933,0.946,9,0.0545,0.0759,0.527,0.49700000000000005,10
5878,6235,j-idol,Do You Believe?,1TCcryARWkKCJM6p16bqT1,4,-3.147,130.053,256773,0.8059999999999999,1,0.000134,0.045,0.655,0.6890000000000001,10
5879,6236,j-idol,アキハバライフ♪,1JyPBoN4ylTQt3tgluVm0e,8,-1.609,114.947,233182,0.982,0,0.000298,0.0376,0.9520000000000001,0.669,10
5880,6237,j-idol,バイカラーの恋心,1IaOzVAUGHIOf1NTWwuAAd,0,-2.123,150.00799999999998,251120,0.9520000000000001,5,0.0,0.0898,0.439,0.451,10
5881,6238,j-idol,僕だけの女神,39ZAeAev9pLzrETRxe5rKp,0,-3.103,155.075,219547,0.981,7,0.00948,0.0686,0.8809999999999999,0.539,10
5882,6239,j-idol,"Love,Passion,Matador",2rqmWfRjXosHEdwTQt7qYF,32,-3.8560000000000003,130.033,198785,0.9520000000000001,3,1.07e-05,0.0521,0.679,0.62,10
5883,6240,j-idol,MajiでKoiする5秒前,07VPMBxEAw8opd21Voa6Rv,38,-3.6189999999999998,103.96600000000001,265027,0.912,0,0.0,0.0297,0.7929999999999999,0.6940000000000001,10
